x	y	z	L	slope
371519.53571	7647110.435681	954.95066	2479.067888	18.675776
371529.379988	7647108.677788	951.527412	2489.067888	18.675776
371539.224267	7647106.919896	948.104164	2499.067888	18.675776
371549.068545	7647105.162004	944.680917	2509.067888	18.675776
371558.912823	7647103.404111	941.257669	2519.067888	18.675776
371568.766927	7647101.703142	937.804178	2529.067721	18.675776
371578.630868	7647100.059165	934.320406	2539.067721	18.675776
371588.49481	7647098.415188	930.836634	2549.067721	18.675776
371598.358751	7647096.771211	927.352862	2559.067721	18.675776
371608.222693	7647095.127234	923.86909	2569.067721	18.675776
371618.086634	7647093.483257	920.385318	2579.067721	18.675776
371627.950575	7647091.83928	916.901546	2589.067721	18.675776
371637.814517	7647090.195303	913.417774	2599.067721	18.675776
371647.518874	7647087.784051	909.971302	2609.067155	18.675776
371657.266973	7647085.566259	906.544055	2619.064357	18.675776
371667.005467	7647083.314145	903.147103	2629.05987	18.675776
371676.676216	7647080.769225	899.757587	2639.05987	18.675776
371686.346964	7647078.224305	896.368071	2649.05987	18.675776
371696.017713	7647075.679385	892.978555	2659.05987	18.675776
371705.919462	7647074.396116	889.040173	2669.044428	18.675776
371715.864542	7647073.349508	884.998835	2679.044428	18.675776
371725.809621	7647072.302899	880.957498	2689.044428	18.675776
371735.754701	7647071.256291	876.91616	2699.044428	18.675776
371745.68504	7647070.088399	873.002746	2709.043208	18.675776
371755.591292	7647068.722315	869.298375	2719.043208	18.675776
371765.497543	7647067.356232	865.594004	2729.043208	18.675776
371775.403794	7647065.990149	861.889633	2739.043208	18.675776
371785.310046	7647064.624066	858.185262	2749.043208	18.675776
371795.216297	7647063.257983	854.480891	2759.043208	18.675776
371805.122549	7647061.891899	850.77652	2769.043208	18.675776
371815.0288	7647060.525816	847.072148	2779.043208	18.675776
371824.935036	7647059.159622	843.7406	2789.043208	18.675776
371834.835734	7647057.754702	840.452991	2799.043089	18.675776
371844.72781	7647056.289496	837.165471	2809.043089	18.675776
371854.651867	7647055.119402	833.923355	2819.035888	18.675776
371864.628178	7647054.431495	830.755422	2829.035888	18.675776
371874.60449	7647053.743588	827.58749	2839.035888	18.675776
371884.580801	7647053.055681	824.419557	2849.035888	18.675776
371894.557112	7647052.367774	821.251625	2859.035888	18.675776
371904.533423	7647051.679866	818.083692	2869.035888	18.675776
371914.509734	7647050.991959	814.91576	2879.035888	18.675776
371924.48346	7647050.268612	811.822364	2889.035811	18.675776
371934.45401	7647049.501704	808.82058	2899.035811	18.675776
371944.424559	7647048.734796	805.818796	2909.035811	18.675776
371954.395108	7647047.967888	802.817012	2919.035811	18.675776
371964.365657	7647047.200981	799.815228	2929.035811	18.675776
371974.336207	7647046.434073	796.813444	2939.035811	18.675776
371984.320095	7647046.014649	793.93304	2949.028505	18.675776
371994.320095	7647046.014929	791.199244	2959.028505	18.675776
372004.320095	7647046.015209	788.465447	2969.028505	18.675776
372014.320095	7647046.015467	785.731642	2979.028505	18.675776
372024.320095	7647046.015707	782.997829	2989.028505	18.675776
