x	y	z	L	slope
372151.801955	7647036.631043	744.661862	3119.267978	18.688156
372161.724761	7647035.390919	741.960337	3129.267978	18.688156
372171.647568	7647034.150796	739.258811	3139.267978	18.688156
372181.570375	7647032.910672	736.557286	3149.267978	18.688156
372191.460326	7647031.452390	733.970831	3159.264864	18.688156
372201.308243	7647029.714996	731.531596	3169.264864	18.688156
372211.156160	7647027.977602	729.092362	3179.264864	18.688156
372221.004077	7647026.240209	726.653127	3189.264864	18.688156
372230.851993	7647024.502815	724.213893	3199.264864	18.688156
372240.719561	7647022.989860	721.836823	3209.247746	18.688156
372250.719561	7647022.989402	719.878683	3219.247746	18.688156
372260.719561	7647022.988944	717.920544	3229.247746	18.688156
372270.719561	7647022.988487	715.962405	3239.247746	18.688156
372280.719561	7647022.987960	714.004254	3249.247746	18.688156
372290.719561	7647022.987349	712.046088	3259.247746	18.688156
372300.719561	7647022.986739	710.087922	3269.247746	18.688156
372310.719561	7647022.986129	708.129756	3279.247746	18.688156
372320.666274	7647022.076696	706.223135	3289.235947	18.688156
372330.597824	7647020.908654	704.331180	3299.235947	18.688156
372340.529373	7647019.740612	702.439225	3309.235947	18.688156
372350.460923	7647018.572569	700.547270	3319.235947	18.688156
372360.392472	7647017.404527	698.655315	3329.235947	18.688156
372370.339877	7647016.391562	696.655879	3339.234795	18.688156
372380.302316	7647015.525639	694.554529	3349.234795	18.688156
372390.264754	7647014.659716	692.453180	3359.234795	18.688156
372400.227192	7647013.793793	690.351831	3369.234795	18.688156
372410.189630	7647012.927870	688.250482	3379.234795	18.688156
372420.152069	7647012.061947	686.149133	3389.234795	18.688156
372430.109698	7647011.152930	684.011337	3399.233829	18.688156
372440.017920	7647009.801219	681.499138	3409.233829	18.688156
372449.926143	7647008.449508	678.986938	3419.233829	18.688156
372459.829424	7647007.062415	676.480903	3429.233779	18.688156
372469.728849	7647005.647710	673.979679	3439.233779	18.688156
372479.693702	7647005.153211	671.651503	3449.210894	18.688156
372489.693702	7647005.153042	669.416286	3459.210894	18.688156
372499.693702	7647005.152872	667.181069	3469.210894	18.688156
372509.693702	7647005.152703	664.945852	3479.210894	18.688156
372519.693702	7647005.152533	662.710635	3489.210894	18.688156
372529.693702	7647005.152363	660.475418	3499.210894	18.688156
372539.693702	7647005.152194	658.240201	3509.210894	18.688156
372549.693702	7647005.152018	656.146927	3519.210894	18.688156
